bib,isbn,bookType,title,publishDate,publishOrder,firstCheckOut,lastCheckOut,adoption,publishDay,fcheckoutDay,ageFull,ageCheckouts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,totalCheckout,deweyNumber,deweyCategory
2418864,811850757,acbk,best bake sale,3/8/07,268,6/5/07,1/5/15,89,66,155,3495,3131,0,29,19,21,5,7,3,6,3,4,97,641, Food & drink
2400737,1559708190,acbk,Happy accidents,3/9/07,269,3/21/07,8/5/13,12,67,79,3494,3207,0,26,13,15,10,4,5,3,0,0,76,610,Medicine & health
2452813,1597971294,acbk,book playing th,3/10/07,270,10/20/07,12/28/14,224,68,292,3493,2994,0,6,13,18,16,16,12,16,10,6,113,796,Athletic & outdoor sports & games
2407651,1401602894,acbk,Back to the fam,3/11/07,271,4/2/07,8/9/13,22,69,91,3492,3195,0,20,16,15,3,6,0,3,0,1,64,641, Food & drink
2412212,856407941,acbk,Alina,3/13/07,272,6/13/07,7/5/11,92,71,163,3490,3123,0,5,1,4,3,1,0,0,0,0,14,629,Other branches of engineering
2414178,1560977949,acbk,living and the,3/14/07,273,4/27/07,12/26/14,44,72,116,3489,3170,0,40,30,19,23,12,15,7,6,2,154,741,Drawing & drawings
2396368,1585678945,acbk,Rat run,3/15/07,274,4/23/07,12/11/13,39,73,112,3488,3174,0,38,28,15,25,17,10,7,0,0,140,944, France & Monaco
2510906,1843108542,jcbk,Joey goes to th,3/15/07,275,8/7/08,1/6/15,511,73,219,3488,2702,0,0,12,30,26,29,21,23,18,23,182,617," Surgery, regional medicine, dentistry, ophthalmology, otology, audiology"
2397755,1565125029,acbk,Fowl weather,3/16/07,276,4/5/07,12/23/14,20,74,94,3487,3192,0,94,81,23,24,18,11,6,4,3,264,636, Animal husbandry
2397772,039305974X,acbk,history of the,3/17/07,277,3/29/07,4/15/14,12,75,87,3486,3199,0,40,25,25,36,31,19,12,5,0,193,930,History of ancient world to ca. 499
2435970,691049831,acbk,readers guide t,3/18/07,278,1/8/08,12/22/14,296,76,7,3485,2914,0,0,5,6,4,2,3,3,2,1,26,811,American poetry in English
